customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2195-8343,Male,0,No,No,64,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,100.16,6472.02,No
2196-3616,Male,1,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.08,1785.43,No
2197-8744,Female,0,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,82.47,5044.93,No
2198-6138,Female,0,No,Yes,25,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),87.32,2159.87,No
2199-2509,Male,0,No,Yes,68,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),71.02,4770.02,No
2200-4293,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,101.4,4066.49,No
2201-1067,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.06,18.63,No
2202-1352,Male,0,Yes,No,62,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,96.18,6030.93,No
2203-4024,Male,0,No,No,66,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,51.05,3316.52,No
2204-5089,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,101.71,2149.55,Yes
2205-8176,Male,0,Yes,Yes,18,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),57.18,1064.24,No
2206-2208,Female,0,Yes,No,41,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,82.73,3307.96,No
2207-8551,Male,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.67,766.73,No
2208-3110,Male,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.21,1569.2,No
2209-2244,Female,0,Yes,No,27,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),41.6,1191.28,No
2210-7298,Male,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.68,1456.27,Yes
2211-7968,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),63.07,985.87,No
2212-6443,Female,0,Yes,Yes,48,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),68.05,3260.77,No
2213-2041,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.0,996.14,No
2214-2037,Female,1,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,34.45,9.71,No
2215-4510,Female,0,No,Yes,36,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.51,2366.97,No
2216-5054,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,82.63,4601.71,Yes
2217-9986,Female,1,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,67.81,672.12,No
2218-3577,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),101.16,1812.48,Yes
2219-2733,Female,0,No,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.2,861.18,No
2220-9512,Female,1,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.64,1920.57,No
2221-2385,Male,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,70.2,1931.25,No
2222-1237,Female,0,No,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,89.41,5403.48,No
2223-4804,Male,0,No,Yes,49,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),93.9,4591.79,No
2224-4609,Female,1,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.41,1681.51,No
2225-6576,Male,1,No,No,42,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),78.28,3318.87,Yes
2226-8898,Male,1,No,Yes,23,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),56.62,1353.87,No
2227-9395,Male,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,97.85,5134.9,No
2228-3606,Female,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.48,720.74,Yes
2229-9826,Male,1,No,No,57,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,57.62,3328.18,No
2230-6693,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),81.06,1372.53,No
2231-1626,Female,0,No,Yes,48,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),68.81,3362.14,No
2232-9445,Male,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.0,1179.99,No
2233-2241,Female,1,Yes,No,17,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),54.99,983.56,No
2234-6296,Female,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.29,1393.9,No
2235-8115,Male,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,33.37,1364.57,No
2236-3244,Female,1,Yes,No,55,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,100.27,5644.62,No
2237-3435,Male,1,No,No,34,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,69.37,2389.51,No
2238-5285,Female,1,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.34,43.95,No
2239-8962,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Electronic check,97.32,457.9,Yes
2240-3012,Female,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.69,4824.46,No
2241-6970,Female,0,No,Yes,65,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),62.24,4029.18,No
2242-5072,Female,0,Yes,No,31,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.01,3042.59,No
2243-2006,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),92.88,487.76,No
2244-7397,Female,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,86.56,1073.37,No
2245-8491,Female,0,No,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,1346.21,No
2246-6180,Female,0,No,No,51,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,85.25,4297.21,No
2247-2587,Male,0,No,No,2,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,80.41,61.53,No
2248-2401,Male,1,No,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),76.4,1322.96,No
2249-4811,Male,0,Yes,No,53,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),53.49,2909.24,No
2250-5557,Male,0,Yes,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,61.11,2925.3,No
2251-5969,Female,0,No,No,20,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.08,1651.44,No
2252-3192,Female,0,No,No,50,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,76.62,3770.76,No
2253-5506,Male,0,Yes,No,66,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),56.79,3668.52,No
2254-3655,Female,1,No,Yes,65,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,60.94,4057.14,No
2255-7174,Male,0,No,No,60,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,61.9,3668.93,No
2256-8167,Female,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.97,779.6,No
2257-6873,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,79.82,60.23,No
2258-1011,Male,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),35.41,933.27,No
2259-9927,Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.86,138.4,No
2260-1213,Male,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.52,1480.11,No
2261-9993,Female,0,No,No,44,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),60.38,2677.85,No
2262-1285,Female,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),89.3,2257.64,No
2263-5647,Male,1,Yes,No,10,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,79.18,808.33,No
2264-1953,Female,1,Yes,Yes,38,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,94.47,3565.88,No
2265-1856,Male,0,No,Yes,1,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,61.18,0.0,No
2266-7149,Female,0,Yes,No,20,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,59.59,1163.65,No
2267-7549,Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),82.62,5664.11,No
2268-2064,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,89.66,6024.55,No
2269-9789,Female,0,Yes,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),101.61,4622.0,Yes
2270-3883,Male,0,No,No,27,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,53.84,1331.34,No
2271-3864,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.89,,Yes
2272-3672,Female,1,No,No,47,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),96.03,4504.49,No
2273-5150,Male,1,No,Yes,35,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,85.27,2834.65,No
2274-2600,Male,0,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.57,1581.21,No
2275-4822,Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,78.11,759.91,No
2276-2889,Female,0,No,No,60,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,88.04,5154.3,No
2277-1462,Female,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),82.79,4771.27,No
2278-4318,Male,0,Yes,No,31,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,67.16,2149.44,No
2279-7049,Male,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),99.61,212.21,No
2280-7867,Male,0,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),28.56,823.34,No
2281-4179,Female,0,No,No,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,88.97,2350.35,No
2282-3913,Female,0,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.41,4399.04,No
2283-8086,Female,0,Yes,No,17,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),42.91,712.07,No
2284-7130,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),79.15,112.57,Yes
2285-8488,Female,0,No,No,71,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.32,3936.9,No
2286-9154,Male,0,No,Yes,17,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,81.52,1298.51,No
2287-8390,Female,0,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),84.33,320.82,Yes
2288-9427,Female,0,No,No,62,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,54.81,3383.61,No
2289-4749,Male,0,No,Yes,52,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),56.81,2898.99,No
2290-4551,Male,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,37.52,727.17,No
2291-3893,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,55.37,1967.03,No
2292-3116,Female,0,Yes,Yes,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,72.33,3702.68,No
2293-7738,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),86.1,4977.4,No
2294-7429,Male,0,No,No,27,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),44.04,1148.12,No
2295-8211,Male,0,Yes,No,15,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.09,933.55,No
2296-2506,Female,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,103.49,152.94,Yes
2297-5420,Male,0,Yes,Yes,62,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,93.08,5797.64,No
2298-2997,Female,0,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.87,6413.28,No
2299-9036,Female,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.09,1894.57,No
2300-3406,Female,0,Yes,Yes,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),81.84,4386.79,No
2301-2295,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,83.77,1221.66,No
2302-6128,Female,0,No,Yes,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),80.99,1414.74,No
2303-8910,Male,0,No,No,17,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,62.31,1090.91,Yes
2304-9240,Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),94.5,3024.62,No
2305-1864,Female,0,No,No,70,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),87.24,5964.45,No
2306-3932,Male,0,No,Yes,50,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,82.42,4102.98,No
2307-2381,Male,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.55,790.62,No
2308-3770,Female,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.53,1638.45,No
2309-5804,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),79.28,4786.74,No
2310-3524,Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.28,778.49,No
2311-1607,Female,0,No,No,61,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,88.35,5303.29,No
2312-5589,Female,0,No,Yes,1,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.42,74.98,No
2313-1475,Male,1,No,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),92.95,2241.29,No
2314-3040,Female,0,No,Yes,12,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,96.41,1107.76,Yes
2315-1004,Male,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.97,421.86,No
2316-1781,Male,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,77.06,965.52,No
2317-4926,Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,75.72,2082.67,No
2318-8655,Male,0,No,No,52,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,75.09,3887.9,No
2319-7970,Male,0,Yes,No,43,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,60.01,2584.38,No
2320-1889,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,86.47,2710.64,No
2321-1313,Female,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.2,1127.71,No
2322-4042,Male,0,No,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.25,369.07,No
2323-6869,Female,0,Yes,Yes,53,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,120.0,6299.68,No
2324-7719,Male,0,Yes,No,55,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,97.93,5355.36,No
2325-8407,Male,0,No,Yes,40,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,94.1,3774.3,Yes
2326-4079,Male,0,No,No,59,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,54.47,3215.28,No
2327-2511,Female,1,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.17,1906.46,No
2328-1237,Female,0,No,No,58,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),64.35,3721.99,No
2329-2321,Female,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.59,303.27,No
2330-1586,Female,1,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,88.3,583.91,Yes
2331-8746,Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,105.28,3330.55,Yes
2332-3415,Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.8,128.0,No
2333-8407,Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),90.63,151.95,Yes
2334-5977,Male,0,No,No,9,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),73.57,665.33,No
2335-5849,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),65.16,401.51,Yes
2336-5092,Male,0,No,No,23,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,62.89,1554.49,No
2337-8371,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.61,2361.43,Yes
2338-1390,Female,0,No,No,59,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,89.93,5468.51,No
2339-1834,Male,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.4,6254.1,No
2340-4810,Female,1,Yes,No,12,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,73.18,1004.42,No
2341-4549,Female,0,Yes,Yes,27,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,56.29,1476.71,No
2342-5909,Male,0,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.49,1072.7,No
2343-7639,Male,1,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,33.11,523.92,No
2344-6287,Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.94,638.16,No
2345-3316,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),69.3,3246.41,No
2346-3945,Female,0,No,Yes,31,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.41,2055.15,No
2347-7770,Female,0,No,Yes,51,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,52.92,2854.6,No
2348-2813,Male,1,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.53,214.31,No
2349-5537,Female,0,No,Yes,35,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,93.22,3312.52,No
2350-5848,Female,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,30.86,677.62,No
2351-7751,Female,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.47,545.61,No
2352-7428,Female,0,No,No,34,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.37,1684.36,No
2353-5181,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,85.41,1743.79,No
2354-3782,Male,1,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,69.06,3909.75,No
2355-4310,Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),92.97,1251.38,No
2356-4703,Male,0,Yes,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.25,1156.16,No
2357-2972,Female,0,No,Yes,26,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,71.47,1916.59,No
2358-6628,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),84.33,3226.74,No
2359-2875,Male,0,No,No,12,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,80.23,973.22,No
2360-6837,Female,0,Yes,Yes,67,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,102.15,6807.87,No
2361-7762,Male,0,Yes,No,46,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,68.84,3054.13,No
2362-9655,Female,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,90.05,4960.01,No
2363-2070,Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.98,6024.83,No
2364-7836,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,72.5,5187.15,No
2365-1773,Female,0,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.22,500.69,No
2366-4034,Female,0,Yes,Yes,24,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,65.44,1479.32,No
2367-2586,Male,0,Yes,Yes,17,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62.25,977.14,No
2368-2460,Female,0,Yes,No,36,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),76.62,2712.39,No
2369-2577,Male,0,No,No,65,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),64.35,4333.56,No
2370-1395,Female,1,No,No,53,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,52.8,2757.77,No
2371-8407,Male,1,No,No,41,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,48.58,1910.75,No
2372-1550,Female,0,No,No,34,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),53.93,1944.03,No
2373-4586,Female,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.11,1850.83,No
2374-7291,Female,0,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.3,940.66,No
