gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,Yes,12,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.75,1398.38,1
Female,0,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.38,1901.51,0
Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,84.84,57.58,1
Male,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,96.64,1874.75,1
Female,1,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.26,3977.97,1
Female,1,Yes,No,37,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,54.23,2036.77,0
Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,81.25,1929.89,0
Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,31.69,2150.04,0
Female,0,Yes,Yes,25,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,63.87,1610.23,0
Female,0,No,No,49,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,57.0,2919.07,0
Male,1,Yes,No,29,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),77.11,2328.39,0
Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.45,3178.99,1
Female,0,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.22,1865.15,0
Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,86.28,2204.01,1
Female,0,No,Yes,29,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.56,2519.05,0
Male,1,No,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),89.67,5118.04,0
Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.13,138.61,0
Male,0,No,Yes,31,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,88.0,2599.08,0
Male,0,No,No,20,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,60.15,1329.86,0
Male,1,Yes,No,35,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),66.91,2374.1,0
Female,0,No,No,42,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),65.81,2748.53,0
Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.93,1020.28,0
Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,66.79,4828.86,0
Male,0,No,No,66,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,65.71,4237.67,0
Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.35,294.36,0
Female,0,No,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),32.62,1462.44,0
Male,0,Yes,No,23,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),65.71,1477.53,0
Male,0,No,No,52,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),49.91,2719.13,0
Female,0,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.5,1110.96,0
Male,0,No,Yes,69,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,85.77,5981.01,0
Female,0,No,Yes,68,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.81,5254.27,0
Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.8,405.69,0
Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),60.81,483.62,0
Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,95.94,147.36,1
Male,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,73.7,4215.82,0
Male,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.42,1558.23,1
Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),28.98,1451.47,0
Male,0,No,No,24,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),60.74,1433.76,0
Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),73.36,1643.62,0
Female,1,Yes,No,44,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,74.39,3293.88,0
Female,0,Yes,No,56,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Mailed check,39.15,2141.09,0
Male,1,Yes,No,41,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),101.93,4168.47,0
Male,0,Yes,No,41,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),50.33,2037.96,0
Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.77,1781.97,0
Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),54.44,650.65,0
Female,0,Yes,Yes,43,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,68.2,2898.96,0
Female,0,No,No,20,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),54.57,1007.64,0
Female,0,No,No,11,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.99,746.76,1
Female,1,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),92.81,2018.23,1
Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.29,1141.86,1
Male,1,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.67,568.77,0
Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,85.07,2.94,1
Male,0,No,No,54,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,73.3,3782.88,0
Female,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.47,835.33,0
Male,0,Yes,Yes,48,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.26,2756.02,0
Male,1,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,114.88,6075.79,0
Female,1,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,93.9,5598.58,0
Female,1,No,No,5,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),64.32,320.9,1
Female,1,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,61.45,2228.23,0
Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,36.27,1161.21,0
Male,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),92.74,2294.36,0
Male,1,No,No,58,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.42,5316.39,1
Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.84,403.74,0
Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,104.75,2359.13,1
Female,0,No,No,57,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.4,3886.82,0
Male,0,No,Yes,28,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,62.8,1711.26,0
Female,0,Yes,No,5,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),66.38,290.55,0
Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,98.82,1314.91,0
Male,0,No,Yes,22,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),67.61,1444.37,0
Male,0,No,No,18,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,80.0,1407.58,0
Female,0,Yes,No,48,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),54.06,2533.17,0
Male,0,No,No,12,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,64.1,703.66,0
Male,0,No,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,89.49,4958.98,0
Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.54,2253.63,1
Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,92.88,396.29,1
Female,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,84.55,0.0,1
Female,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,72.36,3190.38,0
Female,0,No,No,53,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),48.04,2332.31,0
Male,0,No,Yes,10,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),64.26,619.17,1
Female,0,No,No,22,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.0,1229.0,1
Male,0,No,No,55,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.54,5026.2,1
Female,0,Yes,No,63,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),47.01,2974.46,0
Male,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,87.66,4631.21,0
Female,0,No,No,45,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),47.58,1994.03,0
Male,0,No,No,54,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,85.05,4518.69,0
Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.28,1469.36,0
Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.72,197.48,0
Male,0,Yes,Yes,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.25,697.68,0
Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.14,1253.2,1
Female,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,84.64,4823.76,0
Female,0,No,Yes,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,323.27,0
Male,0,Yes,No,64,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.25,5442.47,0
Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),103.72,3770.96,1
Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),77.14,2412.96,0
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),79.53,5652.03,0
Male,0,Yes,Yes,39,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,44.14,1688.45,0
Female,0,No,Yes,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,98.01,570.31,1
Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.29,565.83,0
Female,0,Yes,Yes,43,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.21,4048.81,0
Female,1,Yes,No,16,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),56.66,935.32,0
Male,0,No,No,12,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,75.95,875.59,0
Female,0,Yes,No,21,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),71.71,1584.81,0
Male,1,No,No,37,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),66.89,2490.39,0
Male,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),95.58,694.2,1
Female,0,Yes,No,38,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,72.38,2796.37,0
Female,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),35.05,1699.56,0
Female,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,75.8,2380.48,0
Male,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.1,1625.76,0
Male,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.4,1490.79,0
Female,0,No,No,36,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),103.04,3713.13,0
Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.1,2515.04,0
Male,0,No,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,626.85,0
Female,0,Yes,Yes,58,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,72.49,4129.49,0
Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Mailed check,78.75,3641.27,0
Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),31.23,2131.57,0
Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,91.64,2915.95,1
Male,0,No,Yes,13,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),78.87,1185.77,1
Female,0,No,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.79,452.03,1
Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,97.92,6891.0,0
Female,0,Yes,Yes,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.84,6446.38,0
Male,0,Yes,No,22,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),64.92,1424.23,0
Female,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.45,984.75,0
Female,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.66,0.0,0
Female,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.02,1935.99,0
Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),33.45,906.07,0
Female,0,No,Yes,28,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,61.23,1651.15,0
Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),94.62,1493.17,0
Male,0,No,No,6,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.99,372.33,0
Male,1,No,No,55,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.91,3594.15,0
Female,0,Yes,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,196.23,0
Female,1,No,No,6,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),77.95,446.15,0
Female,1,No,No,71,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),81.11,5799.26,0
Female,0,Yes,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,717.74,0
Male,1,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.33,340.07,0
Female,0,No,No,21,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),67.73,1382.0,0
Female,0,Yes,No,40,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),61.41,2442.97,0
Male,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,93.42,1491.61,1
Female,0,Yes,No,72,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,77.56,5509.88,0
Female,0,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.28,1831.85,0
Male,1,No,Yes,64,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),85.3,5373.37,0
Male,0,No,Yes,37,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),39.71,1413.4,0
Male,0,No,Yes,72,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,69.48,5023.94,0
Female,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),112.54,2524.28,1
Male,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.08,1123.08,0
Male,0,Yes,Yes,54,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),47.94,2427.02,0
Female,0,No,No,36,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),89.35,3346.51,0
Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),103.11,6447.25,0
Male,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),74.0,545.75,0
Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.81,3559.66,1
Female,0,Yes,Yes,60,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.88,4701.22,0
Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),83.15,1110.24,0
Male,1,No,No,28,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,52.26,1490.97,0
Female,0,No,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,69.66,4859.72,0
Male,0,No,No,44,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.73,2332.27,0
Male,0,Yes,No,26,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,60.29,1560.53,0
Male,1,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,110.92,2906.5,0
Female,0,No,No,15,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,40.84,598.99,0
Female,0,Yes,Yes,53,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.24,3713.48,0
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.67,225.25,0
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,110.74,1647.45,0
Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.83,97.07,0
Male,0,No,No,55,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,59.39,3265.09,0
Female,0,Yes,No,68,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,60.72,4074.94,0
Male,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,101.36,435.33,1
Male,0,No,No,69,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,81.21,5603.39,0
Male,1,Yes,No,66,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,66.28,4447.28,1
Male,0,No,Yes,37,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.74,3412.55,0
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,70.92,204.93,1
Male,0,Yes,No,50,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,73.58,3652.29,0
Male,0,No,Yes,38,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.59,2169.23,0
Male,0,Yes,No,60,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),69.29,4057.71,0
Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,78.68,1471.2,0
Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,59.01,2366.51,0
Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),108.33,7049.98,0
Male,0,Yes,No,48,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.33,2618.1,0
Female,1,Yes,No,47,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,90.42,4344.05,1
Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,105.17,7443.14,0
Female,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),103.23,3655.32,0
Female,0,No,No,12,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),59.78,656.86,0
Female,0,Yes,No,71,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,53.06,3909.14,0
Male,0,Yes,No,10,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),63.13,738.41,0
Male,0,Yes,No,40,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,56.71,2155.59,0
Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,102.56,5556.44,0
Male,0,Yes,No,57,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,89.29,5134.08,0
Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),80.37,4011.18,0
Male,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.64,917.23,0
Female,1,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.77,454.39,0
Female,0,No,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,50.78,42.04,0
Male,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),100.28,2179.47,0
Male,0,No,No,70,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.19,4326.56,0
Female,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),69.29,3596.64,0
Male,0,No,No,29,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),89.0,2624.96,0
Female,0,Yes,Yes,36,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,97.3,3457.73,0
Male,0,Yes,Yes,24,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,93.38,2205.66,0
Male,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,81.21,5305.37,0
Male,0,Yes,No,33,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),55.66,1842.56,0
